sub	learn-uncertainty	t	cond	onset	open_d	door	door_p	tgt_door	tgt_found	x	y
1	2	1	1	3.083	1	4	0.250	9	0	1614	1376.000
1	2	1	1	3.100	1	4	0.250	9	0	1614	1376.000
1	2	1	1	3.116	1	4	0.250	9	0	1614	1376.000
1	2	1	1	3.231	1	4	0.250	9	0	1614	1376.000
1	2	1	1	3.385	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.393	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.402	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.416	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.433	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.449	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.466	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.483	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.499	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.516	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.533	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.550	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.566	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.583	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.599	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.616	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.633	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.649	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.666	9	4	0.000	9	0	1609	1376.000
1	2	1	1	3.683	0	0	0.000	9	0	1543	1372.000
1	2	1	1	3.699	0	0	0.000	9	0	1409	1336.000
1	2	1	1	3.716	0	0	0.000	9	0	1291	1306.000
1	2	1	1	3.733	0	0	0.000	9	0	1155	1277.000
1	2	1	1	3.750	0	0	0.000	9	0	978	1234.000
1	2	1	1	3.766	0	0	0.000	9	0	727	1162.000
1	2	1	1	3.783	0	0	0.000	9	0	571	1108.000
1	2	1	1	3.800	0	0	0.000	9	0	479	1069.000
1	2	1	1	3.816	0	0	0.000	9	0	416	1036.000
1	2	1	1	3.833	0	0	0.000	9	0	392	1021.000
1	2	1	1	3.849	0	0	0.000	9	0	370	1008.000
1	2	1	1	3.866	0	0	0.000	9	0	369	1003.000
1	2	1	1	3.883	0	0	0.000	9	0	370	1000.000
1	2	1	1	3.900	0	0	0.000	9	0	374	998.000
1	2	1	1	3.916	0	0	0.000	9	0	398	996.000
1	2	1	1	3.933	0	0	0.000	9	0	398	996.000
1	2	1	1	3.950	0	0	0.000	9	0	398	996.000
1	2	1	1	3.966	0	0	0.000	9	0	398	996.000
1	2	1	1	3.983	0	0	0.000	9	0	398	996.000
1	2	1	1	3.999	0	0	0.000	9	0	398	996.000
1	2	1	1	4.016	0	0	0.000	9	0	398	996.000
1	2	1	1	4.033	0	0	0.000	9	0	398	996.000
1	2	1	1	4.049	0	0	0.000	9	0	398	996.000
1	2	1	1	4.066	0	0	0.000	9	0	397	996.000
1	2	1	1	4.083	0	0	0.000	9	0	391	995.000
1	2	1	1	4.099	0	0	0.000	9	0	380	993.000
1	2	1	1	4.116	0	0	0.000	9	0	368	991.000
1	2	1	1	4.133	0	0	0.000	9	0	360	990.000
1	2	1	1	4.149	0	0	0.000	9	0	349	990.000
1	2	1	1	4.166	0	0	0.000	9	0	347	989.000
1	2	1	1	4.183	0	0	0.000	9	0	347	988.000
1	2	1	1	4.199	0	0	0.000	9	0	347	988.000
1	2	1	1	4.216	0	0	0.000	9	0	352	995.000
1	2	1	1	4.233	0	0	0.000	9	0	364	1013.000
1	2	1	1	4.250	0	0	0.000	9	0	382	1041.000
1	2	1	1	4.266	0	0	0.000	9	0	402	1075.000
1	2	1	1	4.283	0	0	0.000	9	0	421	1109.000
1	2	1	1	4.299	0	0	0.000	9	0	440	1151.000
1	2	1	1	4.316	0	0	0.000	9	0	446	1168.000
1	2	1	1	4.333	0	0	0.000	9	0	448	1175.000
1	2	1	1	4.349	0	0	0.000	9	0	448	1181.000
1	2	1	1	4.366	0	0	0.000	9	0	448	1189.000
1	2	1	1	4.383	0	0	0.000	9	0	448	1196.000
1	2	1	1	4.400	0	0	0.000	9	0	447	1199.000
1	2	1	1	4.416	0	0	0.000	9	0	446	1203.000
1	2	1	1	4.433	0	0	0.000	9	0	446	1205.000
1	2	1	1	4.451	0	0	0.000	9	0	446	1206.000
1	2	1	1	4.467	0	0	0.000	9	0	446	1206.000
1	2	1	1	4.483	0	0	0.000	9	0	446	1206.000
1	2	1	1	4.499	0	0	0.000	9	0	446	1206.000
1	2	1	1	4.516	0	0	0.000	9	0	446	1206.000
1	2	1	1	4.533	0	0	0.000	9	0	446	1206.000
1	2	1	1	4.550	0	0	0.000	9	0	446	1206.000
1	2	1	1	4.566	0	0	0.000	9	0	446	1206.000
1	2	1	1	4.583	0	0	0.000	9	0	446	1206.000
1	2	1	1	4.599	0	0	0.000	9	0	446	1206.000
1	2	1	1	4.616	0	0	0.000	9	0	446	1205.000
1	2	1	1	4.633	0	0	0.000	9	0	451	1200.000
1	2	1	1	4.649	0	0	0.000	9	0	464	1187.000
1	2	1	1	4.666	0	0	0.000	9	0	490	1164.000
1	2	1	1	4.683	0	0	0.000	9	0	508	1149.000
1	2	1	1	4.699	0	0	0.000	9	0	528	1132.000
1	2	1	1	4.716	0	0	0.000	9	0	551	1114.000
1	2	1	1	4.733	0	0	0.000	9	0	573	1099.000
1	2	1	1	4.749	0	0	0.000	9	0	608	1071.000
1	2	1	1	4.766	0	0	0.000	9	0	634	1054.000
1	2	1	1	4.783	0	0	0.000	9	0	677	1029.000
1	2	1	1	4.800	0	0	0.000	9	0	698	1018.000
1	2	1	1	4.816	0	0	0.000	9	0	750	998.000
1	2	1	1	4.833	0	0	0.000	9	0	784	989.000
1	2	1	1	4.849	0	0	0.000	9	0	807	982.000
1	2	1	1	4.866	0	0	0.000	9	0	829	977.000
1	2	1	1	4.883	0	0	0.000	9	0	861	968.000
1	2	1	1	4.899	0	0	0.000	9	0	883	960.000
1	2	1	1	4.916	0	0	0.000	9	0	897	953.000
1	2	1	1	4.933	0	0	0.000	9	0	901	952.000
1	2	1	1	4.949	0	0	0.000	9	0	901	952.000
1	2	1	1	4.966	0	0	0.000	9	0	901	952.000
1	2	1	1	4.983	0	0	0.000	9	0	901	952.000
1	2	1	1	4.999	0	0	0.000	9	0	901	952.000
1	2	1	1	5.016	0	0	0.000	9	0	901	952.000
1	2	1	1	5.033	0	0	0.000	9	0	901	952.000
1	2	1	1	5.049	0	0	0.000	9	0	901	952.000
1	2	1	1	5.066	0	0	0.000	9	0	902	951.000
1	2	1	1	5.083	0	0	0.000	9	0	908	946.000
1	2	1	1	5.099	0	0	0.000	9	0	914	939.000
1	2	1	1	5.116	0	0	0.000	9	0	915	938.000
1	2	1	1	5.133	0	0	0.000	9	0	915	938.000
1	2	1	1	5.149	0	0	0.000	9	0	915	938.000
1	2	1	1	5.166	0	0	0.000	9	0	915	938.000
1	2	1	1	5.183	0	0	0.000	9	0	915	938.000
1	2	1	1	5.199	0	0	0.000	9	0	915	938.000
1	2	1	1	5.216	0	0	0.000	9	0	915	938.000
1	2	1	1	5.233	0	0	0.000	9	0	915	938.000
1	2	1	1	5.249	0	0	0.000	9	0	915	938.000
1	2	1	1	5.266	0	0	0.000	9	0	915	938.000
1	2	1	1	5.283	0	0	0.000	9	0	915	938.000
1	2	1	1	5.299	0	0	0.000	9	0	915	938.000
1	2	1	1	5.316	0	0	0.000	9	0	915	938.000
1	2	1	1	5.333	0	0	0.000	9	0	915	938.000
1	2	1	1	5.350	0	0	0.000	9	0	915	938.000
1	2	1	1	5.366	0	0	0.000	9	0	915	938.000
1	2	1	1	5.383	0	0	0.000	9	0	915	938.000
1	2	1	1	5.399	0	0	0.000	9	0	915	938.000
1	2	1	1	5.416	0	0	0.000	9	0	913	938.000
1	2	1	1	5.433	0	0	0.000	9	0	911	938.000
1	2	1	1	5.449	0	0	0.000	9	0	910	938.000
1	2	1	1	5.466	0	0	0.000	9	0	910	938.000
1	2	1	1	5.483	0	0	0.000	9	0	910	938.000
1	2	1	1	5.499	0	0	0.000	9	0	908	938.000
1	2	1	1	5.516	0	0	0.000	9	0	908	938.000
1	2	1	1	5.533	0	0	0.000	9	0	908	938.000
1	2	1	1	5.549	0	0	0.000	9	0	908	938.000
1	2	1	1	5.566	0	0	0.000	9	0	908	938.000
1	2	1	1	5.583	0	0	0.000	9	0	908	938.000
1	2	1	1	5.600	0	0	0.000	9	0	908	938.000
1	2	1	1	5.616	0	0	0.000	9	0	908	938.000
1	2	1	1	5.633	0	0	0.000	9	0	908	938.000
1	2	1	1	5.649	0	0	0.000	9	0	908	938.000
1	2	1	1	5.666	0	0	0.000	9	0	908	938.000
1	2	1	1	5.683	0	0	0.000	9	0	908	938.000
1	2	1	1	5.699	0	0	0.000	9	0	908	938.000
1	2	1	1	5.716	0	0	0.000	9	0	908	938.000
1	2	1	1	5.733	0	0	0.000	9	0	908	938.000
1	2	1	1	5.749	0	0	0.000	9	0	908	938.000
1	2	1	1	5.766	0	0	0.000	9	0	908	938.000
1	2	1	1	5.783	0	0	0.000	9	0	908	938.000
1	2	1	1	5.799	0	0	0.000	9	0	908	938.000
1	2	1	1	5.816	0	0	0.000	9	0	908	938.000
1	2	1	1	5.833	0	0	0.000	9	0	908	938.000
1	2	1	1	5.850	0	0	0.000	9	0	908	938.000
1	2	1	1	5.866	0	0	0.000	9	0	908	938.000
1	2	1	1	5.883	0	0	0.000	9	0	908	938.000
1	2	1	1	5.899	0	0	0.000	9	0	908	938.000
1	2	1	1	5.916	0	0	0.000	9	0	908	938.000
1	2	1	1	5.933	0	0	0.000	9	0	908	938.000
1	2	1	1	5.949	0	0	0.000	9	0	908	938.000
1	2	1	1	5.966	0	0	0.000	9	0	908	938.000
1	2	1	1	5.983	0	0	0.000	9	0	908	938.000
1	2	1	1	6.000	0	0	0.000	9	0	908	938.000
1	2	1	1	6.016	0	0	0.000	9	0	908	938.000
1	2	1	1	6.033	0	0	0.000	9	0	908	938.000
1	2	1	1	6.049	0	0	0.000	9	0	908	938.000
1	2	1	1	6.066	0	0	0.000	9	0	908	938.000
1	2	1	1	6.083	0	0	0.000	9	0	908	938.000
1	2	1	1	6.100	0	0	0.000	9	0	908	938.000
1	2	1	1	6.116	0	0	0.000	9	0	908	938.000
1	2	1	1	6.133	0	0	0.000	9	0	908	938.000
1	2	1	1	6.150	0	0	0.000	9	0	908	938.000
1	2	1	1	6.166	0	0	0.000	9	0	908	938.000
1	2	1	1	6.183	0	0	0.000	9	0	908	938.000
1	2	1	1	6.200	0	0	0.000	9	0	908	938.000
1	2	1	1	6.216	0	0	0.000	9	0	908	938.000
1	2	1	1	6.233	0	0	0.000	9	0	908	938.000
1	2	1	1	6.250	0	0	0.000	9	0	908	938.000
1	2	1	1	6.266	0	0	0.000	9	0	908	938.000
1	2	1	1	6.283	0	0	0.000	9	0	908	938.000
1	2	1	1	6.300	0	0	0.000	9	0	908	938.000
1	2	1	1	6.316	0	0	0.000	9	0	908	938.000
1	2	1	1	6.333	0	0	0.000	9	0	908	938.000
1	2	1	1	6.350	0	0	0.000	9	0	908	938.000
1	2	1	1	6.366	0	0	0.000	9	0	908	938.000
1	2	1	1	6.383	0	0	0.000	9	0	908	938.000
1	2	1	1	6.400	0	0	0.000	9	0	908	938.000
1	2	1	1	6.416	0	0	0.000	9	0	908	938.000
1	2	1	1	6.433	0	0	0.000	9	0	908	938.000
1	2	1	1	6.450	0	0	0.000	9	0	908	938.000
1	2	1	1	6.466	0	0	0.000	9	0	908	938.000
1	2	1	1	6.483	0	0	0.000	9	0	908	938.000
1	2	1	1	6.500	0	0	0.000	9	0	908	938.000
1	2	1	1	6.516	0	0	0.000	9	0	909	938.000
1	2	1	1	6.533	0	0	0.000	9	0	920	941.000
1	2	1	1	6.550	0	0	0.000	9	0	928	944.000
1	2	1	1	6.566	0	0	0.000	9	0	933	948.000
1	2	1	1	6.583	0	0	0.000	9	0	938	954.000
1	2	1	1	6.600	0	0	0.000	9	0	945	958.000
1	2	1	1	6.616	0	0	0.000	9	0	955	964.000
1	2	1	1	6.633	0	0	0.000	9	0	962	966.000
